PC1,PC2,Method
-0.7549805559661649,-0.16127262232962142,RL
1.0089446163613003,-1.562082823153841,RL
-0.713710795443239,0.5736765059979481,RL
0.8574050440884505,-1.2639396804555252,RL
1.6071662106941462,-0.2776210965347535,RL
-0.5253858654637834,-0.15813640879716245,RL
-1.9823630093062907,0.15359777602470182,RL
-0.27666858754706486,-0.16523029475425421,RL
0.2812361810422705,-0.01836117659058974,RL
0.5065246787646992,-0.25880195709066933,RL
-1.7200715619463802,0.30084108593507686,RL
-1.37361601803422,0.1323946660223033,RL
-0.6845778406456782,0.1865254192044718,RL
0.7699591984990062,-0.08992859906221551,RL
-1.6721429074461913,1.150833045667429,RL
0.634811099374866,-0.308473849127252,RL
-0.35296962627269707,0.002790861722252258,RL
1.6921132168015462,-0.050474692939354096,RL
0.5002451250611505,0.6174796525850187,RL
-0.11737038197623054,1.2269459853225133,RL
0.1565181023551639,0.6261968682900988,RL
0.3606835027311874,0.49494059693905856,RL
-0.366452576046199,1.0751826707669943,RL
-1.8516712183347286,0.7908513046247411,RL
0.19425300977310778,-0.4865087657473934,RL
-1.0743091144531125,-1.3875437164065196,RL
0.5900482458872189,-1.7186980755883767,RL
-1.261035592249188,-1.3316901201552438,RL
-2.004048832518185,-0.8715914340339526,RL
0.027008726236020738,-0.006138450310314971,RL
-2.0355032204651824,-0.3392255642224717,RL
1.3209790048186787,-0.5037840412542871,RL
1.4512678273408468,-0.7669911620574239,RL
-2.142542298786532,-0.006480520010925083,RL
0.3683177822900257,-0.6123134008123607,RL
-0.6875834600733775,0.4128829821597066,RL
-0.3120323457793528,0.8182696892672002,RL
0.59902164670862,1.0819914975224039,RL
0.12791174732422608,0.12642533089145777,RL
-1.78535225736726,0.5957380328435046,RL
-0.24978157604499934,0.7525651882181846,RL
-2.0085128511610284,-0.21980059086976375,RL
-0.5297637688726772,1.2227998414906136,RL
-2.2385335965145594,-0.39253051422921487,RL
0.4353079337408037,0.0725595409223594,RL
-0.7676652258259133,0.7034230768548222,RL
1.054039157449255,-0.014766496146789298,RL
0.7780930303711368,0.36438818181342414,RL
-0.7667788753621815,0.7859563022778961,RL
-1.9098880687500974,0.9583190385702294,RL
-1.9058224808199182,0.2124558588031925,RL
-0.26843618634505756,0.0038557044715414853,RL
-0.031382454753079075,-1.312061525424484,RL
0.849703158315957,0.05859453096392382,RL
-0.07381174213298934,-0.7819094818880312,RL
-1.1186744151947778,0.22889961795587324,RL
0.14675691991292775,0.8450394073993149,RL
-0.08744950849821471,-0.0733330033834635,RL
-0.3552651026048695,0.703569442952939,RL
0.7391765315619103,0.4917309962749123,RL
1.4983370674969314,0.48707970839343584,RL
0.5689151922595327,0.3869483562399229,RL
1.0434827837465577,-0.8849147633823707,RL
0.1734230887984856,1.930511591619553,RL
-0.720035044329321,0.28269692548432857,RL
1.0698487458742494,0.3582461710296453,RL
-1.8323602079653485,0.7651240546704545,RL
-0.506048626984917,-0.585254242286132,RL
2.064176721479921,-1.5432983477626694,RL
0.3347095178384948,0.36168246965073,RL
1.6028352697866164,-1.029597985981506,RL
-1.546024572284532,0.8800741033352117,RL
0.6716486863686268,1.3562322011529377,RL
0.4780176350700277,1.1619826383568512,RL
1.969201115408766,-0.7687394389448524,RL
-1.2518778999153353,0.07921933176562906,RL
-0.19001123044079368,-0.36414730420581126,RL
-0.4902841821424232,-0.021422384147688486,RL
-0.616438161399463,-0.013601618940821385,RL
-1.5203361375759903,-0.554054653867527,RL
-1.775623597201769,0.2292226141794364,RL
-1.2679292161806375,0.757949968006361,RL
0.7574277923943245,-2.1466816812913376,RL
0.7730589151808098,-2.2159072053759643,RL
0.2116527236650737,-0.17335846863441787,RL
0.455046979547609,-0.12024105143319519,RL
-0.961513151750227,-1.3136944447442778,RL
-0.841934413472941,-0.24973936622235035,RL
1.3728411388359438,-0.13672889390214557,RL
1.0321278384949455,0.18902707725009188,RL
0.5446479457712359,-0.8276478931215742,RL
0.9398492186408834,0.16785935221914475,RL
0.7639608238079538,1.114580190757736,RL
1.917715293144259,-1.1182312528354248,RL
0.43154642715265007,0.25411053714605686,RL
-0.8472666882100527,0.2169668605864514,RL
0.9814904423962068,-0.481973731397834,RL
-2.065941068154328,-0.6732792286938378,RL
1.068622682407418,-0.0839094274471729,RL
1.1288677862777194,-1.7788868217189984,RL
0.24299773094722482,-1.4892714127576567,RL
-0.5069301538943367,-0.09126711843337079,RL
1.0828479416531946,-1.6875976179119083,RL
0.3652718073855165,-2.3706319269412988,RL
-1.3786305406392962,0.0036072121690403406,RL
0.8978479856129777,0.9043739394309266,RL
1.125783002612384,0.1867331113569937,RL
0.9475242371644135,-0.5956950072626283,RL
